TADIG Code,Section ID,Section,Date,Description
TWNPC,13,Network Elements Information,2023-07-28,Edit
TWNPC,13,Network Elements Information,2023-07-28,delet MME
TWNPC,16,Packet Data Service Information,2023-07-28,Edit
TWNPC,16,Packet Data Service Information,2023-07-28,edit
TWNPC,16,Packet Data Service Information,2023-07-28,edit
TWNPC,17,GRX/IPX routing for data roaming,2023-07-28,Edit DNS name
TWNPC,17,GRX/IPX routing for data roaming,2023-07-28,Edit ASN
TWNPC,17,GRX/IPX routing for data roaming,2023-07-28,Edit DNS name
TWNPC,20,LTE Roaming Information,2023-07-28,Edit FQDN
TWNPC,20,LTE Roaming Information,2023-07-28,edit
TWNPC,26,VoLTE Roaming Information Section,2023-07-28,edit
TWNPC,13,Network Elements Information,2023-07-14,Update SMSC GT
TWNPC,13,Network Elements Information,2023-07-14,Update SMSC GT
TWNPC,17,GRX/IPX routing for data roaming,2022-07-13,IP Address Range Update
TWNPC,26,VoLTE Roaming Information Section,2020-12-16,VoLTE service update
TWNPC,20,LTE Roaming Information,2020-12-14,5G NSA service update
TWNPC,20,LTE Roaming Information,2020-12-14,5G service update
TWNPC,5,International SCCP Gateway,2020-06-23,SCCP Information updated
TWNPC,17,GRX/IPX routing for data roaming,2020-06-23,IP Address ranges and ASN upated
TWNPC,13,Network Elements Information,2018-12-26,Node Type Update
TWNPC,16,Packet Data Service Information,2018-12-26,APN Type update
TWNPC,21,Contact Information,2018-12-26,Contacts Update
TWNPC,21,Contact Information,2018-12-26,Contacts update
TWNPC,4,Routing Information,2018-11-06,MSRN Number Range Update
TWNPC,13,Network Elements Information,2018-11-06,Network Elements Information Update
TWNPC,4,Routing Information,2017-10-26,Update on the MSRN
TWNPC,4,Routing Information,2017-10-26,update on numbering range
TWNPC,4,Routing Information,2017-10-26,Addition information update
TWNPC,8,Subscriber Identity Authentication,2017-10-26,Subscriber identity Authentication GSM update
TWNPC,16,Packet Data Service Information,2017-10-26,List of data Service supported - delete of 2G service
TWNPC,4,Routing Information,2017-10-17,Update number range
TWNPC,5,International SCCP Gateway,2017-10-17,Remove old TADIG CODE
TWNPC,9,Test Numbers Information,2017-10-17,update ACC Number
TWNPC,13,Network Elements Information,2017-10-17,Update Network Elements
TWNPC,21,Contact Information,2017-08-09,change contact window
TWNPC,21,Contact Information,2017-08-09,update contact window
TWNPC,4,Routing Information,2017-04-28,"TWNPC E.212 466970/466971/466972 are using 2G service, and
will terminate on 30th, June 2017."
TWNPC,4,Routing Information,2017-04-28,"TWNTA 46699 service will terminate on 30th, June 2017."
TWNPC,4,Routing Information,2017-04-28,"TWNTM 46693 service will terminate on 30th, June 2017."
TWNPC,4,Routing Information,2017-03-08,"Update MSISDN Number (add NDC 9010,9011,9012,9013,9014)"
TWNPC,21,Contact Information,2016-12-22,Change Contact Windows
TWNPC,21,Contact Information,2016-12-22,Change Contact Windows
TWNPC,20,LTE Roaming Information,2016-10-17,No Change
TWNPC,20,LTE Roaming Information,2016-10-17,No Change
TWNPC,21,Contact Information,2016-08-19,Change contact window of Troubleshooting
TWNPC,13,Network Elements Information,2016-05-18,Add New SMSC
