Node type,GT address / Address range,IP address / Address range,"IPv6 address /
Address range",Vendor info,UTC offset
SGSN-3G,886 935 420516 / 420516,,,,+08:00
SGSN-3G,886 935 420517 / 420517,,,,+08:00
SGSN-3G,886 935 420518 / 420518,,,,+08:00
SGSN-3G,886 935 420519 / 420519,,,,+08:00
MSC/VLR,886 935 420374 / 420374,,,,+08:00
MSC/VLR,886 935 420375 / 420375,,,,+08:00
MSC/VLR,886 935 420431 / 420431,,,,+08:00
MSC/VLR,886 935 420434 / 420434,,,,+08:00
SMSC,886 935 074443 / 074443,,,,+08:00
SMSC,886 935 574440 / 574440,,,,+08:00
SMSC,886 935 574441 / 574441,,,,+08:00
SMSC,886 935 574442 / 574442,,,,+08:00
SMSC,886 935 574443 / 574443,,,,+08:00
SMSC,886 935 874374 / 874374,,,,+08:00
SMSC,886 935 420355 / 420355,,,,+08:00
SMSC,886 935 420411 / 420411,,,,+08:00
SMSC,886 935 874309 / 874309,,,,+08:00
SMSC,886 935 874311 / 874311,,,,+08:00
SMSC,886 935 874308 / 874308,,,,+08:00
SMSC,886 935 420691 / 420691,,,,+08:00
SMSC,886 935 420692 / 420692,,,,+08:00
SMSC,886 935 874443 / 874443,,,,+08:00
SMSC,886 935 420709 / 420709,,,,+08:00
SMSC,886 935 420426 / 420426,,,,+08:00
SMSC,886 935 420498 / 420498,,,,+08:00
SMSC,886 935 420553 / 420553,,,,+08:00
SMSC,886 935 420557 / 420557,,,,+08:00
HLR,886 935 420607 / 420608,,,,+08:00
HLR,886 935 420617 / 420618,,,,+08:00
MSC/VLR,886 935 420590 / 420590,,,,+08:00
MSC/VLR,886 935 420601 / 420601,,,,+08:00
MSC/VLR,886 935 420602 / 420602,,,,+08:00
MSC/VLR,886 935 420603 / 420603,,,,+08:00
MSC/VLR,886 935 420604 / 420604,,,,+08:00
MSC/VLR,886 935 474488 / 474488,,,,+08:00
