"CCITT E.164
Number series","Country
Code (CC)","National
Destination
Code (NDC)",SN Range Start,SN Range Stop,"Primary
International
DPC","Secondary
International
DPC","Network
owner",Location
MSISDN number ranges (s),,,,,,,,
,886,909,,,,,MNO,
,886,918,,,,,MNO,
,886,920,,,,,MNO,
,886,922,,,,,MNO,
,886,923,,,,,MNO,
,886,929,,,,,MNO,
,886,935,,,,,MNO,
,886,939,,,,,MNO,
,886,952,,,,,MNO,
,886,953,,,,,MNO,
,886,956,,,,,MNO,
,886,958,,,,,MNO,
,886,983,,,,,MNO,
,886,987,,,,,MNO,
,886,9010,,,,,MNO,
,886,9011,,,,,MNO,
,886,9012,,,,,MNO,
,886,9013,,,,,MNO,
,886,9014,,,,,MNO,
,886,9140,,,,,MNO,
,886,9141,,,,,MNO,
,886,9142,,,,,MNO,
,886,9240,,,,,MNO,
,886,9241,,,,,MNO,
,886,9314,,,,,MNO,
,886,9315,,,,,MNO,
,886,9316,,,,,MNO,
,886,9317,,,,,MNO,
,886,9318,,,,,MNO,
,886,9319,,,,,MNO,
,886,9600,,,,,MNO,
,886,9601,,,,,MNO,
,886,9602,,,,,MNO,
,886,9603,,,,,MNO,
,886,9604,,,,,MNO,
,886,9610,,,,,MNO,
,886,9611,,,,,MNO,
,886,9612,,,,,MNO,
,886,9613,,,,,MNO,
,886,9614,,,,,MNO,
,886,9615,,,,,MNO,
