Node type,Node ID,GT address / Address range,"IP address /
Address range","IPv6 address /
Address range",Vendor info,"SW / HW
version","UTC
offset"
MSC/VLR-2G,,968 770 60520 / 60520,,,Ericsson,,+04:00
MSC/VLR-2G,,968 770 60540 / 60540,,,Ericsson,,+04:00
SCP,,968 770 60532 / 60532,,,Openet,,+04:00
SCP,,968 770 60552 / 60552,,,Openet,,+04:00
SCP,,968 770 60505 / 60505,,,Openet,,+04:00
SMSC,,968 770 60529 / 60529,,,Comviva,,+04:00
SMSC,,968 770 60549 / 60549,,,Comviva,,+04:00
SMSC,,968 770 60500 / 60500,,,Comviva,,+04:00
HLR,,968 770 60525 / 60525,,,Ericsson,,+04:00
HLR,,968 770 60545 / 60545,,,Ericsson,,+04:00
MME,,,193.3.37.30/32,,Ericsson,,+04:00
MME,,,193.3.37.32/32,,Ericsson,,+04:00
MME,,,193.3.37.31/32,,Ericsson,,+04:00
MME,,,193.3.37.33/32,,Ericsson,,+04:00
HLR,,968 770 60460 / 60460,,,,,+04:00
MSC,,968 770 60461 / 60461,,,,,+04:00
SMSC,,968 770 60462 / 60462,,,,,+04:00
SMSC,,968 770 60463 / 60463,,,,,+04:00
SMSC,,968 770 60464 / 60464,,,,,+04:00
SMSC,,968 770 60465 / 60465,,,,,+04:00
HLR,,968 770 60470 / 60470,,,,,+04:00
MSC,,968 770 60471 / 60471,,,,,+04:00
SMSC,,968 770 60472 / 60472,,,,,+04:00
SMSC,,968 770 60473 / 60473,,,,,+04:00
SMSC,,968 770 60474 / 60474,,,,,+04:00
SMSC,,968 770 60475 / 60475,,,,,+04:00
