Date,Description
2018-02-19,added new HLR and HSS
2018-02-19,new HLR common GT address
2018-01-10,Stopped MMS service
2017-10-30,Added new nodes ( MVPNs )
2017-10-19,Deleted MSC/VLR - MSC!13 - 994 50 9221100 /9221100
2017-03-15,new SMSC 9103343
2016-11-01,change GGSN name to EPG
2016-07-22,MSCSV removed
2015-11-10,New GT added
2015-07-02,added new node
2015-07-02,added node
2015-07-02,network info added
2015-07-02,New network noce GT added
2015-07-02,New node GT added
2015-05-19,New SMS SC GT = 994509103320 added
2015-03-31,New Inter PLMN IP backbones and EPG nodes added
2014-08-14,New SMS SC address 994509103307 added.
