Date,Description
2024-01-18,Updated LTe information
2018-10-09,Agreement information for LTE updated
2018-10-09,EPC realms of roaming interconnection updated
2018-10-09,Interface information for roaming interconnection updated
2018-10-09,Update MCC / MNC ( 400/001) for EPC realms of roaming interconnection
2018-10-09,IPX interconnection information for AZEAC added
2016-08-12,Domain name from mnc changed to epc
2016-08-12,LTE information changed
2016-08-12,LTE roaming information changed
2016-08-12,LTE Roaming information changed
