TADIG Code,Section ID,Section,Date,Description
AZEAC,17,GRX/IPX Routing for Data Roaming,2024-01-22,#P range information updated.
AZEAC,13,Network Elements Information,2024-01-19,"Added - VMSC1 GT range 994509167707 and VMSC2 GT range
994509177700"
AZEAC,4,Routing Information,2024-01-18,Range information updated
AZEAC,16,Packet Data Service Information,2024-01-18,Updated _ WEB APN information
AZEAC,20,LTE Roaming Information,2024-01-18,Updated LTe information
AZEAC,17,GRX/IPX Routing for Data Roaming,2023-02-02,"Added new user plane IP addresses for vEPG3 and vEPG4
( 5.191.14.0/27 and 5.191.14.32/27)"
AZEAC,13,Network Elements Information,2022-04-19,Added New SMSC range
AZEAC,13,Network Elements Information,2022-04-18,Added new SGSN / GGSN nodes
AZEAC,13,Network Elements Information,2022-03-10,Node MSCSV5 deleted
AZEAC,21,Contact Information,2022-03-10,Contact Information updated
AZENT,13,Network Elements Information,2021-07-19,Added new MSC and HSS GT address
AZEAC,17,GRX/IPX Routing for Data Roaming,2021-07-05,IP address range - removed and added
AZEAC,13,Network Elements Information,2021-03-17,"Added new MSC/VLR, SGSN, SMSC"
AZEAC,13,Network Elements Information,2020-11-30,Added new SGSN / vSGSN7 node
AZEAC,17,GRX/IPX Routing for Data Roaming,2020-10-06,Added new GRX provider DTAG (T-systems)
AZEAC,9,Test Numbers Information,2020-08-18,AAC test number changed
AZEAC,17,GRX/IPX Routing for Data Roaming,2020-06-17,IP Address Range updated - 5.191.11.0/24
AZEAC,5,International SCCP Gateway,2020-05-13,"New DPCs for T-systems added and Old T-systems DPCs
removed"
AZEAC,4,Routing Information,2020-05-01,New NDC range added 994 99 1000000 && 9999999
AZEAC,4,Routing Information,2020-05-01,Added new NDC range for MNP
AZEAC,8,Subscriber Identity Authentication,2020-05-01,A5 Cipher Algorithm version in used
AZEAC,13,Network Elements Information,2020-05-01,MVPN nodes deleted
AZEAC,4,Routing Information,2020-02-27,NDC range updated
AZEAC,21,Contact Information,2020-02-27,Contacts updated
AZENT,4,Routing Information,2020-02-27,New NDC range added - 994 60 6000000 - 7999999
AZEAC,13,Network Elements Information,2019-09-27,Added new SMSSC range
AZEAC,4,Routing Information,2019-06-25,"New NDC range 99410 XXXXXXX & 994501 XXXXXX & 994511
XXXXXX , MSISDN range added"
AZENT,4,Routing Information,2019-03-18,Added new MSISDN range for AZENT
AZENT,4,Routing Information,2018-10-16,Global title number ranges updated
AZENT,5,International SCCP Gateway,2018-10-11,DPC information updated
AZEAC,13,Network Elements Information,2018-10-09,Network elements updated
AZEAC,16,Packet Data Service Information,2018-10-09,Update APN type
AZEAC,20,LTE Roaming Information,2018-10-09,Agreement information for LTE updated
AZEAC,20,LTE Roaming Information,2018-10-09,EPC realms of roaming interconnection updated
AZEAC,20,LTE Roaming Information,2018-10-09,Interface information for roaming interconnection updated
AZEAC,20,LTE Roaming Information,2018-10-09,"Update MCC / MNC ( 400/001) for EPC realms of roaming
interconnection"
AZEAC,20,LTE Roaming Information,2018-10-09,IPX interconnection information for AZEAC added
AZENT,4,Routing Information,2018-10-09,"Update MS#SDN number range for AZENT ( New number range
7000000-7200000 )"
AZENT,8,Subscriber Identity Authentication,2018-10-09,Subscriber identity authentication information for AZENT updated
AZEAC,13,Network Elements Information,2018-04-23,Deleted Network elements
AZENT,4,Routing Information,2018-04-23,Added new MSISDN range 4000000-4999999
AZEAC,13,Network Elements Information,2018-02-19,added new HLR and HSS
