TADIG Code,Section ID,Section,Date,Description
AZEAC,13,Network Elements Information,2018-02-19,new HLR common GT address
AZEAC,13,Network Elements Information,2018-01-10,Stopped MMS service
AZEAC,21,Contact Information,2018-01-05,Contacts update
AZENT,4,Routing Information,2018-01-05,MSISDN number ranges updated for AZENT
AZENT,21,Contact Information,2018-01-05,Contacts updated
AZEAC,13,Network Elements Information,2017-10-30,Added new nodes ( MVPNs )
AZEAC,4,Routing Information,2017-10-19,"Added new MSISDN 8200000-8999999 / 8000000-8099999,
MSRN range changed"
AZEAC,9,Test Numbers Information,2017-10-19,Changed test number
AZEAC,13,Network Elements Information,2017-10-19,Deleted MSC/VLR - MSC!13 - 994 50 9221100 /9221100
AZEAC,16,Packet Data Service Information,2017-10-19,APN WAP list and APN MMS list deleted
AZEAC,16,Packet Data Service Information,2017-10-19,update
AZEAC,16,Packet Data Service Information,2017-10-19,Update
AZEAC,21,Contact Information,2017-03-16,office hours
AZEAC,13,Network Elements Information,2017-03-15,new SMSC 9103343
AZEAC,21,Contact Information,2017-03-15,troubleshooting contact
AZEAC,17,GRX/IPX Routing for Data Roaming,2016-12-12,New IP Address Range added 5.191.11.0/25
AZEAC,13,Network Elements Information,2016-11-01,change GGSN name to EPG
AZENT,4,Routing Information,2016-11-01,Added new TADIG CODE AZENT
AZEAC,9,Test Numbers Information,2016-10-04,AAC test number changed
AZEAC,20,LTE Roaming Information,2016-08-12,Domain name from mnc changed to epc
AZEAC,20,LTE Roaming Information,2016-08-12,LTE information changed
AZEAC,20,LTE Roaming Information,2016-08-12,LTE roaming information changed
AZEAC,20,LTE Roaming Information,2016-08-12,LTE Roaming information changed
AZEAC,13,Network Elements Information,2016-07-22,MSCSV removed
AZEAC,4,Routing Information,2016-04-01,Made some corrections
AZEAC,4,Routing Information,2016-03-31,New MSISDN range 9945084XXXXX added
AZEAC,9,Test Numbers Information,2016-03-31,New test number added
AZEAC,9,Test Numbers Information,2016-03-31,Test number removed
AZEAC,13,Network Elements Information,2015-11-10,New GT added
AZEAC,13,Network Elements Information,2015-07-02,added new node
AZEAC,13,Network Elements Information,2015-07-02,added node
AZEAC,13,Network Elements Information,2015-07-02,network info added
AZEAC,13,Network Elements Information,2015-07-02,New network noce GT added
AZEAC,13,Network Elements Information,2015-07-02,New node GT added
AZEAC,13,Network Elements Information,2015-05-19,New SMS SC GT = 994509103320 added
AZEAC,13,Network Elements Information,2015-03-31,New Inter PLMN IP backbones and EPG nodes added
AZEAC,17,GRX/IPX Routing for Data Roaming,2015-03-31,New Inter PLMN IP address added.
AZEAC,4,Routing Information,2014-09-12,New MSISDN series added
AZEAC,13,Network Elements Information,2014-08-14,New SMS SC address 994509103307 added.
AZEAC,5,International SCCP Gateway,2014-08-01,"Connection with SCCP provider BICS (Belgacom) will be
terminated from 1st September. TSIC(TeliaSonera) our primary
SCCP carrier. T-com used for backup."
AZEAC,5,International SCCP Gateway,2014-08-01,"Connection with SCCP provider BICS (Belgacom) will be
terminated from 1st September. TSIC(TeliaSonera) our primary
SCCP carrier. T-com used for backup."
AZEAC,9,Test Numbers Information,2014-04-25,AAC changed
AZEAC,4,Routing Information,2014-01-23,New MSISDN range added
AZEAC,9,Test Numbers Information,2014-01-23,New test number
