Current version in,Column_2,Column_3
Inbound roaming,,Outbound roaming
MSC/VLR,SGSN,Outbound roaming
MAPv3,N/A,MAPv3
MAPv3,N/A,MAPv3
MAPv3,MAPv3,MAPv3
MAPv3,MAPv3,MAPv3
MAPv3,N/A,MAPv3
MAPv3,MAPv3,MAPv3
MAPv3,MAPv3,MAPv3
MAPv3,MAPv3,MAPv3
MAPv3,N/A,MAPv3
MAPv3,MAPv3,MAPv3
N/A,MAPv3,MAPv3
MAPv3,MAPv3,MAPv3
MAPv3,MAPv3,MAPv3
MAPv3,MAPv3,MAPv3
MAPv3,N/A,MAPv3
MAPv3,N/A,MAPv3
MAPv3,N/A,MAPv3
MAPv3,N/A,MAPv3
MAPv3,N/A,MAPv3
N/A,N/A,MAPv3
MAPv3,N/A,MAPv3
MAPv3,MAPv3,MAPv3
MAPv3,N/A,MAPv3
N/A,MAPv3,MAPv3
N/A,MAPv3,MAPv3
N/A,MAPv3,MAPv3
MAPv3,MAPv3,MAPv3
