Node type,GT address / Address range,IP address / Address range,"IPv6 address /
Address range",Vendor info,UTC offset
MSC/VLR-2G+3G,994 50 9408011 / 9408011,,,Ericsson,+04:00
MSC/VLR-2G+3G,994 50 9408013 / 9408013,,,Ericsson,+04:00
MSC/VLR-2G+3G,994 50 9408017 / 9408017,,,Ericsson,+04:00
MSC/VLR-2G+3G,994 50 9408019 / 9408019,,,,+04:00
MSC/VLR-2G+3G,994 50 9408041 / 9408041,,,Ericsson,+04:00
MSC/VLR-2G+3G,994 50 9408300 / 9408300,,,,+04:00
SMSC,994 50 9103300 / 9103300,,,,+04:00
SMSC,994 50 9103301 / 9103301,,,,+04:00
SMSC,994 50 9103305 / 9103305,,,,+04:00
SMSC,994 50 9103317 / 9103317,,,,+04:00
SMSC,994 50 9103307 / 9103307,,,,+04:00
SMSC,994 50 9103311 / 9103311,,,,+04:00
SMSC,994 50 9103312 / 9103312,,,,+04:00
SMSC,994 50 9103320 / 9103320,,,,+04:00
SMSC,994 50 9103321 / 9103321,,,,+04:00
SMSC,994 50 9103322 / 9103322,,,,+04:00
SMSC,994 50 9103341 / 9103341,,,,+04:00
SMSC,994 50 9103342 / 9103342,,,,+04:00
SMSC,994 50 9103343 / 9103343,,,,+04:00
HLR,994 50 9144501 / 9144501,,,,+04:00
HLR,994 50 9144502 / 9144502,,,,+04:00
HSS,994 50 9143300 / 9143300,,,Ericsson,+04:00
HSS,994 50 9143301 / 9143301,,,Ericsson,+04:00
HLR,994 50 9144500 / 9144500,,,Ericsson,+04:00
SMSC,994 50 9103346 / 9103346,,,,+04:00
SMSC,994 50 9103332 / 9103332,,,,+04:00
SMSC,994 50 9145009 / 9145009,,,,+04:00
PGW,,217.168.178.121,,Ericsson,+04:00
PGW,,217.168.178.41,,Ericsson,+04:00
SGSN,994 50 9138802 / 9138802,5.191.10.104,,Ericsson,+04:00
SGSN,994 50 9138803 / 9138803,5.191.10.106,,Ericsson,+04:00
SGSN,994 50 9138804 / 9138804,5.191.10.100,,Ericsson,+04:00
SGSN,994 50 9138805 / 9138805,5.191.10.102,,Ericsson,+00:00
SGSN,994 50 9138801 / 9138801,217.168.178.105,,Ericsson,+04:00
SGSN,994 50 9148801 / 9148801,217.168.178.107,,Ericsson,+04:00
SGSN,994 50 9148800 / 9148800,217.168.178.240,,Ericsson,+04:00
SMSC,994 50 9145007 / 9145007,,,,+04:00
MSC,994 50 9177700 / 9177700,,,Ericsson,+04:00
MSC,994 50 9167707 / 9167707,,,Ericsson,+04:00
PGW,,5.191.10.113,,Ericsson,+04:00
PGW,,5.191.10.97,,Ericsson,+04:00
