TADIG Code,Section ID,Section Name
AZENT,6,Domestic SCCP Gateway
AZENT,7,SCCP Protocol available at PMN for connection for International SS7 Roaming
AZENT,9,Test Numbers Information
AZENT,12,MAP Inter Operator SMS Enhancement
AZENT,14,USSD Information
AZENT,15,CAMEL Information
AZENT,16,Packet Data Services Information
AZENT,17,GRX/IPX Routing for Data Roaming
AZENT,18,MMS Interworking Information
AZENT,19,WLAN Information
AZENT,20,Roaming in Long Term Evolution
AZENT,22,Hosted Networks
AZENT,23,M2M Roaming Information
AZENT,26,VoLTE Roaming Information Section
AZENT,27,LPWA Roaming Information Section
